"",3. TOTAL VALID VOTES POLLED ,"","",902836 
"",4. TENDERED VOTES ,"","",6 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1636 ,AVERAGE ,ELECTORS PER POLLING S,TATION 803 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,r.G.Vivekanan,d ,313748 
"",RUNER-UP TRS G,omasa Sriniva,s ,264731 
"",MARGIN 49017 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :3 
"",Constituency :Karimnagar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,1 ,21 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,15 ,0 ,15 
"",5. FORFEITED DEPOSIT ,12 ,0 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,750050 ,745939 ,1495989 
"",2. SERVICE ,180 ,42 ,222 
"",3. TOTAL ,750230 ,745981 ,1496211 
"",III.VOTERS ,"","",""
"",1. GENERAL ,483062 ,502778 ,985840 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3461 
"",4. TOTAL ,"","",989301 
"",III(A). POLLING PERCENTAGE 66.12 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1345 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",987956 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1819 ,AVERAGE ,ELECTORS PER POLLING S,TATION 822 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Po,nnam Prabha,kar ,317927 
"",RUNER-UP TRS Vi,nod Kumar Bo,inapally ,267684 
"",MARGIN 50243 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :4 
"",Constituency :Nizamabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,12 ,2 ,14 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,0 ,1 ,1 
"",4. CONTESTED ,11 ,1 ,12 
"",5. FORFEITED DEPOSIT ,8 ,1 ,9 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,620157 ,712902 ,1333059 
"",2. SERVICE ,174 ,38 ,212 
"",3. TOTAL ,620331 ,712940 ,1333271 
"",III.VOTERS ,"","",""
"",1. GENERAL ,412357 ,474706 ,887063 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2448 
"",4. TOTAL ,"","",889511 
"",III(A). POLLING PERCENTAGE 66.72 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1997 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",887514 
"",4. TENDERED VOTES ,"","",13 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1582 ,AVERAGE ,ELECTORS PER POLLING S,TATION 842 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC M,adhu Yaskhi G,oud ,296504 
"",RUNER-UP TRS Bi,gala Ganesh G,upta ,236114 
"",MARGIN 60390 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :5 
"",Constituency :Zahirabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,18 ,1 ,19 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,5 ,1 ,6 
"",4. CONTESTED ,10 ,0 ,10 
"",5. FORFEITED DEPOSIT ,8 ,0 ,8 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,663220 ,696142 ,1359362 
"",2. SERVICE ,157 ,47 ,204 
"",3. TOTAL ,663377 ,696189 ,1359566 
"",III.VOTERS ,"","",""
"",1. GENERAL ,503730 ,509631 ,1013361 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3929 
"",4. TOTAL ,"","",1017290 
"",III(A). POLLING PERCENTAGE 74.82 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",82 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1017208 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1564 ,AVERAGE ,ELECTORS PER POLLING S,TATION 869 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Su,resh Kumar S,hetkar ,395767 
"",RUNER-UP TRS Sy,ed Yousuf Ali,"",378360 
"",MARGIN 17407 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :6 
"",Constituency :Medak ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,14 ,1 ,15 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,8 ,1 ,9 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,688607 ,700813 ,1389420 
"",2. SERVICE ,265 ,36 ,301 
"",3. TOTAL ,688872 ,700849 ,1389721 
"",III.VOTERS ,"","",""
"",1. GENERAL ,530855 ,525384 ,1056239 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",4033 
"",4. TOTAL ,"","",1060272 
"",III(A). POLLING PERCENTAGE 76.29 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1721 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1058551 
"",4. TENDERED VOTES ,"","",0 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1571 ,AVERAGE ,ELECTORS PER POLLING S,TATION 884 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER TRS Vi,jaya Shanthi .M,"",388839 
"",RUNER-UP INC N,arendranath .C,"",382762 
"",MARGIN 6077 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :7 
"",Constituency :Malkajgiri ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,20 ,0 ,20 
"",2. NOMINATION REJECTED ,0 ,0 ,0 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,19 ,0 ,19 
"",5. FORFEITED DEPOSIT ,16 ,0 ,16 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,1231875 ,1110983 ,2342858 
"",2. SERVICE ,167 ,25 ,192 
"",3. TOTAL ,1232042 ,1111008 ,2343050 
"",III.VOTERS ,"","",""
"",1. GENERAL ,650733 ,554328 ,1205061 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",653 
"",4. TOTAL ,"","",1205714 
"",III(A). POLLING PERCENTAGE 51.46 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",509 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1205205 
"",4. TENDERED VOTES ,"","",49 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 2165 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1082 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Sa,rvey Sathyan,arayana ,388368 
"",RUNER-UP TDP Bh,eemsen.T ,"",295042 
"",MARGIN 93326 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :8 
"",Constituency :Secundrabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,24 ,2 ,26 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,1 ,0 ,1 
"",4. CONTESTED ,21 ,2 ,23 
"",5. FORFEITED DEPOSIT ,19 ,2 ,21 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,820074 ,754542 ,1574616 
"",2. SERVICE ,136 ,66 ,202 
"",3. TOTAL ,820210 ,754608 ,1574818 
"",III.VOTERS ,"","",""
"",1. GENERAL ,465807 ,398461 ,864268 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",770 
"",4. TOTAL ,"","",865038 
"",III(A). POLLING PERCENTAGE 54.93 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",319 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",864719 
"",4. TENDERED VOTES ,"","",58 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1498 ,AVERAGE ,ELECTORS PER POLLING S,TATION 1051 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC An,jan Kumar Ya,dav M ,340549 
"",RUNER-UP BJP Ba,ndaru Dattatr,eya ,170382 
"",MARGIN 170167 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :9 
"",Constituency :Hyderabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,28 ,1 ,29 
"",2. NOMINATION REJECTED ,6 ,0 ,6 
"",3. WITHDRAWN ,0 ,0 ,0 
"",4. CONTESTED ,22 ,1 ,23 
"",5. FORFEITED DEPOSIT ,20 ,1 ,21 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,712863 ,679857 ,1392720 
"",2. SERVICE ,322 ,200 ,522 
"",3. TOTAL ,713185 ,680057 ,1393242 
"",III.VOTERS ,"","",""
"",1. GENERAL ,388858 ,342190 ,731048 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",300 
"",4. TOTAL ,"","",731348 
"",III(A). POLLING PERCENTAGE 52.49 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",864 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",240 
"",3. TOTAL VALID VOTES POLLED ,"","",730244 
"",4. TENDERED VOTES ,"","",102 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1546 ,AVERAGE ,ELECTORS PER POLLING S,TATION 900 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER AIMIM As,aduddin Owa,isi ,308061 
"",RUNER-UP TDP Za,hid Ali Khan ,"",194196 
"",MARGIN 113865 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :10 
"",Constituency :CHELVELLA ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,21 ,1 ,22 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,12 ,1 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,860304 ,820982 ,1681286 
"",2. SERVICE ,279 ,99 ,378 
"",3. TOTAL ,860583 ,821081 ,1681664 
"",III.VOTERS ,"","",""
"",1. GENERAL ,576888 ,507208 ,1084096 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",904 
"",4. TOTAL ,"","",1085000 
"",III(A). POLLING PERCENTAGE 64.52 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1510 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1083490 
"",4. TENDERED VOTES ,"","",5 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1783 ,AVERAGE ,ELECTORS PER POLLING S,TATION 942 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ja,ipal Reddy Su,dini ,420807 
"",RUNER-UP TDP A.,P.Jithender R,eddy ,402275 
"",MARGIN 18532 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :11 
"",Constituency :Mahbubnagar ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,34 ,5 ,39 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,4 ,0 ,4 
"",4. CONTESTED ,27 ,5 ,32 
"",5. FORFEITED DEPOSIT ,25 ,5 ,30 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,672215 ,696222 ,1368437 
"",2. SERVICE ,400 ,31 ,431 
"",3. TOTAL ,672615 ,696253 ,1368868 
"",III.VOTERS ,"","",""
"",1. GENERAL ,463997 ,460541 ,924538 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1978 
"",4. TOTAL ,"","",926516 
"",III(A). POLLING PERCENTAGE 67.68 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",906 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",925610 
"",4. TENDERED VOTES ,"","",2 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1566 ,AVERAGE ,ELECTORS PER POLLING S,TATION 873 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER TRS K., Chandrasekh,ar Rao ,366569 
"",RUNER-UP INC D,evarakonda Vi,ttal Rao ,346385 
"",MARGIN 20184 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :12 
"",Constituency :Nagarkurnool ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,0 ,17 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,13 ,0 ,13 
"",5. FORFEITED DEPOSIT ,11 ,0 ,11 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,723174 ,736821 ,1459995 
"",2. SERVICE ,432 ,57 ,489 
"",3. TOTAL ,723606 ,736878 ,1460484 
"",III.VOTERS ,"","",""
"",1. GENERAL ,523043 ,498919 ,1021962 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",3405 
"",4. TOTAL ,"","",1025367 
"",III(A). POLLING PERCENTAGE 70.21 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1077 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1024290 
"",4. TENDERED VOTES ,"","",21 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1666 ,AVERAGE ,ELECTORS PER POLLING S,TATION 876 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",19 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC D,r. Manda Jaga,nnath ,422745 
"",RUNER-UP TRS G,uvvala Balaraj,u ,374978 
"",MARGIN 47767 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :13 
"",Constituency :Nalgonda ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,19 ,2 ,21 
"",2. NOMINATION REJECTED ,3 ,0 ,3 
"",3. WITHDRAWN ,3 ,1 ,4 
"",4. CONTESTED ,13 ,1 ,14 
"",5. FORFEITED DEPOSIT ,11 ,1 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,720000 ,734653 ,1454653 
"",2. SERVICE ,289 ,74 ,363 
"",3. TOTAL ,720289 ,734727 ,1455016 
"",III.VOTERS ,"","",""
"",1. GENERAL ,544783 ,528438 ,1073221 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",5477 
"",4. TOTAL ,"","",1078698 
"",III(A). POLLING PERCENTAGE 74.14 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",491 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1078207 
"",4. TENDERED VOTES ,"","",19 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1656 ,AVERAGE ,ELECTORS PER POLLING S,TATION 878 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC G,utha Sukende,r Reddy ,493849 
"",RUNER-UP CPI Su,ravaram Sudh,akar Reddy ,340867 
"",MARGIN 152982 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :14 
"",Constituency :Bhongir ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,18 ,1 ,19 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,12 ,1 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,743319 ,734776 ,1478095 
"",2. SERVICE ,230 ,66 ,296 
"",3. TOTAL ,743549 ,734842 ,1478391 
"",III.VOTERS ,"","",""
"",1. GENERAL ,578336 ,547142 ,1125478 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",2762 
"",4. TOTAL ,"","",1128240 
"",III(A). POLLING PERCENTAGE 76.32 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1181 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",450 
"",3. TOTAL VALID VOTES POLLED ,"","",1126609 
"",4. TENDERED VOTES ,"","",15 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1735 ,AVERAGE ,ELECTORS PER POLLING S,TATION 851 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC Ko,matireddy Ra,j Gopal Reddy ,504103 
"",RUNER-UP CPM N,omula Narsimh,aiah ,364215 
"",MARGIN 139888 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :15 
"",Constituency :Warangal ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,17 ,2 ,19 
"",2. NOMINATION REJECTED ,1 ,1 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,14 ,1 ,15 
"",5. FORFEITED DEPOSIT ,12 ,1 ,13 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,745270 ,741121 ,1486391 
"",2. SERVICE ,181 ,45 ,226 
"",3. TOTAL ,745451 ,741166 ,1486617 
"",III.VOTERS ,"","",""
"",1. GENERAL ,522672 ,506209 ,1028881 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1644 
"",4. TOTAL ,"","",1030525 
"",III(A). POLLING PERCENTAGE 69.32 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",647 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",1029878 
"",4. TENDERED VOTES ,"","",2 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1725 ,AVERAGE ,ELECTORS PER POLLING S,TATION 862 
"","DATE(s) OF RE-POLL, IF ANY : ","","",04-18-2009 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",1 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER INC R,ajaiah Siricilla ,"",396568 
"",RUNER-UP TRS R,amagalla Para,meshwar ,271907 
"",MARGIN 124661 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :16 
"",Constituency :Mahabubabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,16 ,0 ,16 
"",2. NOMINATION REJECTED ,1 ,0 ,1 
"",3. WITHDRAWN ,3 ,0 ,3 
"",4. CONTESTED ,12 ,0 ,12 
"",5. FORFEITED DEPOSIT ,10 ,0 ,10 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,622601 ,642603 ,1265204 
"",2. SERVICE ,162 ,30 ,192 
"",3. TOTAL ,622763 ,642633 ,1265396 
"",III.VOTERS ,"","",""
"",1. GENERAL ,495996 ,498535 ,994531 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1871 
"",4. TOTAL ,"","",996402 
"",III(A). POLLING PERCENTAGE 78.74 ,"","",""
