III. VOTERS,"","","",""
1. GENERAL, 546010 , 546798 , 0 ,1092808 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 6976 
5. TOTAL,"","","",1099784 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  76.09 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1092808 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 13699 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1079109 
4. POSTAL VOTES COUNTED,"","","", 6976 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 2469 
6. VALID POSTAL VOTES,"","","", 4507 
7. TOTAL VALID VOTES POLLED,"","","",1083616 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 11190 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1757 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,23 
"DATE(s) OF RE-POLL, IF ANY :","","",13-May-20,14
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"","",3
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,B.B. Patil,"", 508661 ,""
RUNER-UP INC,Suresh Kumar Sh,etkar, 364030 ,""
MARGIN  144631 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Medak,"","",No. :6,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 14 , 1 , 0 , 15 
2. NOMINATION REJECTED, 1 , 1 , 0 , 2 
3. WITHDRAWN, 0 , 0 , 0 , 0 
4. CONTESTED, 13 , 0 , 0 , 13 
5. FORFEITED DEPOSIT, 11 , 0 , 0, 11 
II. ELECTORS,"","","",""
1. GENERAL, 775373 , 760517 , 74 ,1535964 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 187 , 15 ,"", 202 
4. TOTAL, 775560 , 760532 , 74 ,1536166 
III. VOTERS,"","","",""
1. GENERAL, 605044 , 583040 , 0 ,1188084 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 5464 
5. TOTAL,"","","",1193548 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  77.70 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1188084 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 10687 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1177397 
4. POSTAL VOTES COUNTED,"","","", 5464 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 2546 
6. VALID POSTAL VOTES,"","","", 2918 
7. TOTAL VALID VOTES POLLED,"","","",1180315 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 10696 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1817 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,45 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Kalvakuntla Chan,drasekhar Rao, 657492 ,""
RUNER-UP INC,Dr.P. Shravan Ku,mar Reddy, 260463 ,""
MARGIN  397029 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Malkajgiri,"","",No. :7,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 32 , 0 , 0 , 32 
2. NOMINATION REJECTED, 0 , 0 , 0 , 0 
3. WITHDRAWN, 2 , 0 , 0 , 2 
4. CONTESTED, 30 , 0 , 0 , 30 
5. FORFEITED DEPOSIT, 28 , 0 , 0, 28 
II. ELECTORS,"","","",""
1. GENERAL ,1722513 , 1459322 , 405 ,3182240 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 748 , 95 ,"", 843 
4. TOTAL ,1723261 , 1459417 , 405 ,3183083 
III. VOTERS,"","","",""
1. GENERAL, 877156 , 741285 , 0 ,1618441 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 6418 
5. TOTAL,"","","",1624859 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  51.05 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1618441 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 11261 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1607180 
4. POSTAL VOTES COUNTED,"","","", 6418 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 1846 
6. VALID POSTAL VOTES,"","","", 4572 
7. TOTAL VALID VOTES POLLED,"","","",1611752 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 8692 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  2882 ,AVERAGE E,LECTORS PER POLLING ,STATION  1,104 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TDP,Ch.Malla Reddy,"", 523356 ,""
RUNER-UP TRS,Hanumanth Rao ,Mynampally, 495190 ,""
MARGIN  28166 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Secundrabad,"","",No. :8,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 32 , 6 , 0 , 38 
2. NOMINATION REJECTED, 2 , 2 , 0 , 4 
3. WITHDRAWN, 3 , 1 , 0 , 4 
4. CONTESTED, 27 , 3 , 0 , 30 
5. FORFEITED DEPOSIT, 25 , 3 , 0, 28 
II. ELECTORS,"","","",""
1. GENERAL ,1012297 , 880716 , 222 ,1893235 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 443 , 63 ,"", 506 
4. TOTAL ,1012740 , 880779 , 222 ,1893741 
III. VOTERS,"","","",""
1. GENERAL, 546289 , 457397 , 3 ,1003689 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 1074 
5. TOTAL,"","","",1004763 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  53.06 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1003689 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 7268 
3. TOTAL VALID VOTES POLLED ON EVM,"","","", 996421 
4. POSTAL VOTES COUNTED,"","","", 1074 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 298 
6. VALID POSTAL VOTES,"","","", 776 
7. TOTAL VALID VOTES POLLED,"","","", 997197 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 6572 
10. TENDERED VOTES,"","","", 12 
V. POLLING STATIONS,"","","",""
NUMBER  1603 ,AVERAGE E,LECTORS PER POLLING ,STATION  1,181 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER BJP,Bandaru Dattatre,ya, 438271 ,""
RUNER-UP INC,M.Anjan Kumar Y,adav, 183536 ,""
MARGIN  254735 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Hyderabad,"","",No. :9,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 15 , 2 , 0 , 17 
2. NOMINATION REJECTED, 1 , 0 , 0 , 1 
3. WITHDRAWN, 0 , 0 , 0 , 0 
4. CONTESTED, 14 , 2 , 0 , 16 
5. FORFEITED DEPOSIT, 12 , 2 , 0, 14 
II. ELECTORS,"","","",""
1. GENERAL, 960169 , 862339 , 221 ,1822729 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 311 , 177 ,"", 488 
4. TOTAL, 960480 , 862516 , 221 ,1823217 
III. VOTERS,"","","",""
1. GENERAL, 525811 , 445415 , 0, 971226 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 544 
5. TOTAL,"","","", 971770 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  53.30 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","", 971226 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 5011 
3. TOTAL VALID VOTES POLLED ON EVM,"","","", 966215 
4. POSTAL VOTES COUNTED,"","","", 544 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 351 
6. VALID POSTAL VOTES,"","","", 193 
7. TOTAL VALID VOTES POLLED,"","","", 966408 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 5013 
10. TENDERED VOTES,"","","", 16 
V. POLLING STATIONS,"","","",""
NUMBER  1567 ,AVERAGE E,LECTORS PER POLLING ,STATION  1,164 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER AIMIM,Asaduddin Owais,i, 513868 ,""
RUNER-UP BJP,Dr.Bhagavanth R,ao, 311414 ,""
MARGIN  202454 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :CHELVELLA,"","",No. :10,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 24 , 0 , 0 , 24 
2. NOMINATION REJECTED, 4 , 0 , 0 , 4 
3. WITHDRAWN, 5 , 0 , 0 , 5 
4. CONTESTED, 15 , 0 , 0 , 15 
5. FORFEITED DEPOSIT, 12 , 0 , 0, 12 
II. ELECTORS,"","","",""
1. GENERAL, 1152761 , 1031810 , 206 ,2184777 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 300 , 87 ,"", 387 
4. TOTAL, 1153061 , 1031897 , 206 ,2185164 
III. VOTERS,"","","",""
1. GENERAL, 695012 , 617108 , 0 ,1312120 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 10192 
5. TOTAL,"","","",1322312 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  60.51 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1312120 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 12700 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1299420 
4. POSTAL VOTES COUNTED,"","","", 10192 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 3768 
6. VALID POSTAL VOTES,"","","", 6424 
7. TOTAL VALID VOTES POLLED,"","","",1305844 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 10018 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  2142 ,AVERAGE E,LECTORS PER POLLING ,STATION  1,020 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Konda Vishweshw,ar Reddy, 435077 ,""
RUNER-UP INC,Patlolla Kartik Re,ddy, 362054 ,""
MARGIN  73023 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Mahbubnagar,"","",No. :11,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 16 , 1 , 0 , 17 
2. NOMINATION REJECTED, 1 , 0 , 0 , 1 
3. WITHDRAWN, 6 , 1 , 0 , 7 
4. CONTESTED, 9 , 0 , 0 , 9 
5. FORFEITED DEPOSIT, 6 , 0 , 0, 6 
II. ELECTORS,"","","",""
1. GENERAL, 712669 , 705353 , 157 ,1418179 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 395 , 94 ,"", 489 
4. TOTAL, 713064 , 705447 , 157 ,1418668 
III. VOTERS,"","","",""
1. GENERAL, 509912 , 499391 , 1 ,1009304 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 6216 
5. TOTAL,"","","",1015520 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  71.58 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1009304 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 9608 
3. TOTAL VALID VOTES POLLED ON EVM,"","","", 999696 
4. POSTAL VOTES COUNTED,"","","", 6216 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 149 
6. VALID POSTAL VOTES,"","","", 6067 
7. TOTAL VALID VOTES POLLED,"","","",1005763 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 9037 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1592 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,91 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER TRS,Ap Jithender Red,dy, 334228 ,""
RUNER-UP INC,Jaipal Reddy Sud,ini, 331638 ,""
MARGIN  2590 ,"","","",""


State/UT :S01,"","",Code :S01,""
Constituency :Nagarkurnool,"","",No. :12,""
I. CANDIDATES,MEN,WOMEN,OTHERS,TOTAL
1. NOMINATED, 9 , 0 , 0 , 9 
2. NOMINATION REJECTED, 1 , 0 , 0 , 1 
3. WITHDRAWN, 2 , 0 , 0 , 2 
4. CONTESTED, 6 , 0 , 0 , 6 
5. FORFEITED DEPOSIT, 3 , 0 , 0, 3 
II. ELECTORS,"","","",""
1. GENERAL, 744564 , 732059 , 151 ,1476774 
2. OVERSEAS, 0, 0, 0, 0 
3. SERVICE, 486 , 45 ,"", 531 
4. TOTAL, 745050 , 732104 , 151 ,1477305 
III. VOTERS,"","","",""
1. GENERAL, 569056 , 537781 , 28 ,1106865 
2. OVERSEAS, 0, 0, 0, 0 
3. PROXY,"","","", 0 
4. POSTAL,"","","", 9294 
5. TOTAL,"","","", 1116159 
6. Votes Rejected Due to Other Reason,"","","", 0 
III(A). POLLING PERCENTAGE  75.55 ,"","","",""
IV. VOTES,"","","",""
1. TOTAL VOTES POLLED ON EVM,"","","",1106865 
2. TOTAL DEDUCTED VOTES FROM EVM,(TEST VOTES + VOTES NOT RET,RIVED+ NOTA),"", 14227 
3. TOTAL VALID VOTES POLLED ON EVM,"","","",1092638 
4. POSTAL VOTES COUNTED,"","","", 9294 
5. POSTAL VOTES DEDUCTED (REJECTED POSTA,L VOTES + NOTA),"","", 5352 
6. VALID POSTAL VOTES,"","","", 3942 
7. TOTAL VALID VOTES POLLED,"","","",1096580 
8. TEST VOTES POLLED ON EVM,"","","", 0 
9. VOTES POLLED FOR 'NOTA' (INCLUDING PO,STAL),"","", 12388 
10. TENDERED VOTES,"","","", 0 
V. POLLING STATIONS,"","","",""
NUMBER  1676 ,AVERAGE E,LECTORS PER POLLING ,STATION  8,81 
"DATE(s) OF RE-POLL, IF ANY :","","",n,ull
NUMBER OF POLLING STATIONS WHERE RE-POL,L WAS ORDERED,"",N,IL
VI. DATES,"","","",""
POLLING,COUNTING,DE,CLARATION OF RES,ULT
30-Apr-2014,16-May-2014,1,6-May-2014,""
VII. RESULT,"","","",""
PARTY,CANDIDATE,"",VOTES,""
WINNER INC,Yellaiah Nandi,"", 420075 ,""
